"MapManBin"	"GO.Term"	"GO.Name"	"GO.Ontolgy"	"GO.depth"	"Bin.Description"
"5.7.1.2"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.type-II NAD(P)H dehydrogenase activities.NDB-type NAD(P)H dehydrogenase"
"5.7.1.2"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.type-II NAD(P)H dehydrogenase activities.NDB-type NAD(P)H dehydrogenase"
"5.7.2"	"GO:0005739"	"mitochondrion"	"CC"	12	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0005743"	"mitochondrial inner membrane"	"CC"	23	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0009916"	"alternative oxidase activity"	"MF"	6	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0016020"	"membrane"	"CC"	2	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0046872"	"metal ion binding"	"MF"	5	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0070469"	"respiratory chain"	"CC"	4	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.2"	"GO:0102721"	"ubiquinol:oxygen oxidoreductase activity"	"MF"	6	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.alternative oxidase"
"5.7.3"	"GO:0005739"	"mitochondrion"	"CC"	12	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0005743"	"mitochondrial inner membrane"	"CC"	23	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0006839"	"mitochondrial transport"	"BP"	8	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0015992"	"proton transport"	"BP"	9	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0016020"	"membrane"	"CC"	2	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0016021"	"integral component of membrane"	"CC"	5	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0017077"	"oxidative phosphorylation uncoupler activity"	"MF"	4	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:0031966"	"mitochondrial membrane"	"CC"	21	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"5.7.3"	"GO:1990542"	"mitochondrial transmembrane transport"	"BP"	10	"Mitochondrial electron transport and ATP synthesis.alternative NAD(P)H dehydrogenase activities.uncoupling protein"
"6.1.1.1.1"	"GO:0005737"	"cytoplasm"	"CC"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.1"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.1"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.1"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.1"	"GO:0016740"	"transferase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate synthase"
"6.1.1.1.2"	"GO:0000166"	"nucleotide binding"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0003991"	"acetylglutamate kinase activity"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0005515"	"protein binding"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0005524"	"ATP binding"	"MF"	17	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0005737"	"cytoplasm"	"CC"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0009534"	"chloroplast thylakoid"	"CC"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0009570"	"chloroplast stroma"	"CC"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0016301"	"kinase activity"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0016310"	"phosphorylation"	"BP"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0016740"	"transferase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0034618"	"arginine binding"	"MF"	10	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.2"	"GO:0042450"	"arginine biosynthetic process via ornithine"	"BP"	29	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate kinase"
"6.1.1.1.3"	"GO:0003942"	"N-acetyl-gamma-glutamyl-phosphate reductase activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0005737"	"cytoplasm"	"CC"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0016491"	"oxidoreductase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0016620"	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0046983"	"protein dimerization activity"	"MF"	4	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0051287"	"NAD binding"	"MF"	10	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.3"	"GO:0055114"	"oxidation-reduction process"	"BP"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N-acetylglutamate-5-phosphate reductase"
"6.1.1.1.4"	"GO:0003824"	"catalytic activity"	"MF"	2	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0003992"	"N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0005507"	"copper ion binding"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0005739"	"mitochondrion"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0006525"	"arginine metabolic process"	"BP"	16	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0006952"	"defense response"	"BP"	4	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0008483"	"transaminase activity"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0009570"	"chloroplast stroma"	"CC"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0016740"	"transferase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0030170"	"pyridoxal phosphate binding"	"MF"	11	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0042742"	"defense response to bacterium"	"BP"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0042802"	"identical protein binding"	"MF"	4	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0044419"	"interspecies interaction between organisms"	"BP"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0048364"	"root development"	"BP"	9	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.4"	"GO:0080022"	"primary root development"	"BP"	10	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine aminotransferase"
"6.1.1.1.5"	"GO:0003824"	"catalytic activity"	"MF"	2	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0004042"	"acetyl-CoA:L-glutamate N-acetyltransferase activity"	"MF"	9	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0004358"	"glutamate N-acetyltransferase activity"	"MF"	9	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0008152"	"metabolic process"	"BP"	2	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0016740"	"transferase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0016746"	"transferase activity, transferring acyl groups"	"MF"	4	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.1.5"	"GO:0103045"	"methione N-acyltransferase activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.ornithine synthesis.N2-acetylornithine:glutamate acetyltransferase"
"6.1.1.2.1.1"	"GO:0000050"	"urea cycle"	"BP"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0000166"	"nucleotide binding"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0004087"	"carbamoyl-phosphate synthase (ammonia) activity"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0004088"	"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0005524"	"ATP binding"	"MF"	17	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0006221"	"pyrimidine nucleotide biosynthetic process"	"BP"	36	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0006807"	"nitrogen compound metabolic process"	"BP"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0016874"	"ligase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0044205"	"'de novo' UMP biosynthetic process"	"BP"	65	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.1"	"GO:0046872"	"metal ion binding"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.large subunit"
"6.1.1.2.1.2"	"GO:0000050"	"urea cycle"	"BP"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0000166"	"nucleotide binding"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0004088"	"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0005524"	"ATP binding"	"MF"	17	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0005829"	"cytosol"	"CC"	8	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0005951"	"carbamoyl-phosphate synthase complex"	"CC"	10	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0006207"	"'de novo' pyrimidine nucleobase biosynthetic process"	"BP"	29	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0006221"	"pyrimidine nucleotide biosynthetic process"	"BP"	36	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0006541"	"glutamine metabolic process"	"BP"	16	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0009570"	"chloroplast stroma"	"CC"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0016036"	"cellular response to phosphate starvation"	"BP"	16	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0016874"	"ligase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.1.2"	"GO:0044205"	"'de novo' UMP biosynthetic process"	"BP"	65	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.carbamoyl phosphate synthetase.small subunit"
"6.1.1.2.2"	"GO:0000050"	"urea cycle"	"BP"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0004585"	"ornithine carbamoyltransferase activity"	"MF"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0005829"	"cytosol"	"CC"	8	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0006520"	"cellular amino acid metabolic process"	"BP"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0006526"	"arginine biosynthetic process"	"BP"	27	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0006591"	"ornithine metabolic process"	"BP"	15	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0008652"	"cellular amino acid biosynthetic process"	"BP"	21	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0009507"	"chloroplast"	"CC"	13	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0009536"	"plastid"	"CC"	12	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0009570"	"chloroplast stroma"	"CC"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0016597"	"amino acid binding"	"MF"	8	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0016740"	"transferase activity"	"MF"	3	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0016743"	"carboxyl- or carbamoyltransferase activity"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.2"	"GO:0042450"	"arginine biosynthetic process via ornithine"	"BP"	29	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.ornithine carbamoyltransferase"
"6.1.1.2.3"	"GO:0000050"	"urea cycle"	"BP"	19	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
"6.1.1.2.3"	"GO:0000053"	"argininosuccinate metabolic process"	"BP"	17	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
"6.1.1.2.3"	"GO:0000166"	"nucleotide binding"	"MF"	7	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
"6.1.1.2.3"	"GO:0004055"	"argininosuccinate synthase activity"	"MF"	5	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
"6.1.1.2.3"	"GO:0005524"	"ATP binding"	"MF"	17	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
"6.1.1.2.3"	"GO:0005737"	"cytoplasm"	"CC"	6	"Amino acid metabolism.glutamate family.glutamate-derived amino acid biosynthesis pathway.arginine synthesis.argininosuccinate synthetase"
